REGION,NODE,YEAR,CLEAN,RENEWABLE,FOSSIL
GLOBAL,INDWE,2040,54.5,52.3,45.5
GLOBAL,INDWE,2041,54.3,52.2,45.7
GLOBAL,INDWE,2042,54.2,52.2,45.8
GLOBAL,INDWE,2043,54.0,52.1,46.0
GLOBAL,INDWE,2044,53.4,51.6,46.6
GLOBAL,INDWE,2045,54.0,52.3,46.0
GLOBAL,INDWE,2046,55.0,53.4,45.0
GLOBAL,INDWE,2047,55.2,53.7,44.8
GLOBAL,INDWE,2048,55.8,54.4,44.2
GLOBAL,INDWE,2049,55.8,54.4,44.2
GLOBAL,INDWE,2050,55.7,54.5,44.3
