REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S3D6,ELCKENXX02,2041,5.268
GLOBAL,S1D1,ELCKENXX02,2042,6.937000000000001
GLOBAL,S1D2,ELCKENXX02,2042,8.3244
GLOBAL,S1D3,ELCKENXX02,2042,8.3244
GLOBAL,S1D4,ELCKENXX02,2042,8.3244
GLOBAL,S1D5,ELCKENXX02,2042,8.3244
GLOBAL,S1D6,ELCKENXX02,2042,5.549600000000001
GLOBAL,S2D1,ELCKENXX02,2042,6.937000000000001
GLOBAL,S2D2,ELCKENXX02,2042,8.3244
GLOBAL,S2D3,ELCKENXX02,2042,8.3244
GLOBAL,S2D4,ELCKENXX02,2042,8.3244
GLOBAL,S2D5,ELCKENXX02,2042,8.3244
GLOBAL,S2D6,ELCKENXX02,2042,5.549600000000001
GLOBAL,S3D1,ELCKENXX02,2042,6.937000000000001
GLOBAL,S3D2,ELCKENXX02,2042,8.3244
GLOBAL,S3D3,ELCKENXX02,2042,8.3244
GLOBAL,S3D4,ELCKENXX02,2042,9.711800000000002
GLOBAL,S3D5,ELCKENXX02,2042,8.3244
GLOBAL,S3D6,ELCKENXX02,2042,5.549600000000001
GLOBAL,S1D1,ELCKENXX02,2043,7.2895
GLOBAL,S1D2,ELCKENXX02,2043,8.747399999999999
GLOBAL,S1D3,ELCKENXX02,2043,8.747399999999999
GLOBAL,S1D4,ELCKENXX02,2043,8.747399999999999
GLOBAL,S1D5,ELCKENXX02,2043,8.747399999999999
GLOBAL,S1D6,ELCKENXX02,2043,5.8316
GLOBAL,S2D1,ELCKENXX02,2043,7.2895
GLOBAL,S2D2,ELCKENXX02,2043,8.747399999999999
GLOBAL,S2D3,ELCKENXX02,2043,8.747399999999999
GLOBAL,S2D4,ELCKENXX02,2043,8.747399999999999
GLOBAL,S2D5,ELCKENXX02,2043,8.747399999999999
GLOBAL,S2D6,ELCKENXX02,2043,5.8316
GLOBAL,S3D1,ELCKENXX02,2043,7.2895
GLOBAL,S3D2,ELCKENXX02,2043,8.747399999999999
GLOBAL,S3D3,ELCKENXX02,2043,8.747399999999999
GLOBAL,S3D4,ELCKENXX02,2043,10.205300000000001
GLOBAL,S3D5,ELCKENXX02,2043,8.747399999999999
GLOBAL,S3D6,ELCKENXX02,2043,5.8316
GLOBAL,S1D1,ELCKENXX02,2044,7.642
GLOBAL,S1D2,ELCKENXX02,2044,9.170399999999999
GLOBAL,S1D3,ELCKENXX02,2044,9.170399999999999
GLOBAL,S1D4,ELCKENXX02,2044,9.170399999999999
GLOBAL,S1D5,ELCKENXX02,2044,9.170399999999999
GLOBAL,S1D6,ELCKENXX02,2044,6.1136
GLOBAL,S2D1,ELCKENXX02,2044,7.642
GLOBAL,S2D2,ELCKENXX02,2044,9.170399999999999
GLOBAL,S2D3,ELCKENXX02,2044,9.170399999999999
GLOBAL,S2D4,ELCKENXX02,2044,9.170399999999999
GLOBAL,S2D5,ELCKENXX02,2044,9.170399999999999
GLOBAL,S2D6,ELCKENXX02,2044,6.1136
GLOBAL,S3D1,ELCKENXX02,2044,7.642
GLOBAL,S3D2,ELCKENXX02,2044,9.170399999999999
GLOBAL,S3D3,ELCKENXX02,2044,9.170399999999999
GLOBAL,S3D4,ELCKENXX02,2044,10.698800000000002
GLOBAL,S3D5,ELCKENXX02,2044,9.170399999999999
GLOBAL,S3D6,ELCKENXX02,2044,6.1136
GLOBAL,S1D1,ELCKENXX02,2045,7.9944999999999995
GLOBAL,S1D2,ELCKENXX02,2045,9.593399999999999
GLOBAL,S1D3,ELCKENXX02,2045,9.593399999999999
GLOBAL,S1D4,ELCKENXX02,2045,9.593399999999999
GLOBAL,S1D5,ELCKENXX02,2045,9.593399999999999
GLOBAL,S1D6,ELCKENXX02,2045,6.3956
