REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S2D6,52.40022035262633
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S2D1,38.833650637580966
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S2D2,51.1783837481697
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S2D3,62.01756986225244
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S2D4,62.01756986225244
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S2D5,62.01756986225244
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S3D6,38.70462794318535
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S3D1,62.01756986225244
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S3D2,52.316204458556186
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S3D3,62.01756986225244
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S3D4,62.017569862252415
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2031,S3D5,62.017569862252415
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S1D6,47.289221827015474
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S1D1,60.21039400032935
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S1D2,66.92710600003252
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S1D3,66.92710600003252
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S1D4,55.66943174037905
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S1D5,66.92710600003252
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S2D6,27.456960923950355
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S2D1,59.78872044179814
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S2D2,57.12511787163801
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S2D3,66.92710600003252
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S2D4,66.92710600003252
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S2D5,66.92710600003252
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S3D6,56.65933832284381
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S3D1,50.93588681968384
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S3D2,66.92710600003252
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S3D3,66.92710600003252
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S3D4,66.92710600003251
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2032,S3D5,66.9271060000325
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S1D6,50.873163432854895
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S1D1,64.69032100762861
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S1D2,71.71159107083182
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S1D3,71.71159107083182
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S1D4,59.65927266697519
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S1D5,71.71159107083182
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S2D6,29.565551363495565
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S2D1,64.13704784393339
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S2D2,60.88127807083914
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S2D3,71.71159107083182
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S2D4,71.71159107083182
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S2D5,71.71159107083182
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S3D6,60.18537063882227
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S3D1,54.827497232733165
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S3D2,71.71159107083182
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S3D3,71.71159107083182
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S3D4,71.71159107083182
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2033,S3D5,71.71159107083179
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S1D6,54.4571050386943
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S1D1,69.17024801492788
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S1D2,76.49611321476873
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S1D3,76.49611321476873
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S1D4,76.49611321476873
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S1D5,64.67290383470892
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S2D6,31.674178876178345
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S2D1,68.5253752460686
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S2D2,76.49611321476873
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S2D3,73.919801371066
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S2D4,76.49611321476873
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S2D5,76.49611321476873
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S3D6,63.71140295480072
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S3D1,65.5160395018209
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S3D2,59.286078526500674
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S3D3,76.49611321476873
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S3D4,76.4961132147687
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2034,S3D5,76.4961132147687
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S1D6,57.1428895810138
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S1D1,73.6410509346359
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S1D2,81.27079683472705
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S1D3,67.40012736474183
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S1D4,81.27079683472705
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S1D5,81.27079683472705
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S2D6,33.77841775211524
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S2D1,81.27079683472705
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S2D2,81.27079683472705
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S2D3,81.27079683472705
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S2D4,81.27079683472705
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S2D5,68.10688714644914
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S3D6,52.80157587855339
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S3D1,69.89460323611173
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S3D2,81.27079683472705
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S3D3,81.27079683472705
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S3D4,81.27079683472702
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2035,S3D5,81.27079683472702
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S1D6,61.33689023977168
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S1D1,78.82353268646072
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S1D2,74.58820439986796
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S1D3,86.8250419405477
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S1D4,86.8250419405477
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S1D5,86.8250419405477
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S2D6,36.23712690976412
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S2D1,77.93818663396895
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S2D2,86.8250419405477
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S2D3,86.8250419405477
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S2D4,86.8250419405477
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S2D5,86.8250419405477
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S3D6,47.742078771049925
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S3D1,74.99334650361622
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S3D2,86.8250419405477
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S3D3,86.8250419405477
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S3D4,86.82504194054766
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2036,S3D5,86.82504194054768
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S1D6,65.47557637115854
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S1D1,83.9968903506943
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S1D2,79.07954194137297
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S1D3,92.38246456733296
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S1D4,92.38246456733296
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S1D5,92.38246456733296
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S2D6,38.70446347561029
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S2D1,82.9826706197341
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S2D2,92.38246456733296
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S2D3,92.38246456733296
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S2D4,92.38246456733296
GLOBAL,PWRGEOKENXX01,GEOKENXX,1,2037,S2D5,92.38246456733296
