REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2029,S1D1,25.280758
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2029,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2029,S2D1,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2030,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2030,S1D1,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2030,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2030,S2D1,132.04961
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2031,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2031,S1D1,25.280758
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2031,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2031,S2D1,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2032,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2032,S1D1,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2032,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2032,S2D1,132.04961
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2033,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2033,S1D1,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2033,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2033,S2D1,132.04961
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2034,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2034,S1D1,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2034,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2034,S2D1,132.04961
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2035,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2035,S1D1,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2035,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2035,S2D1,132.04961
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2036,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2036,S1D1,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2036,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2036,S2D1,132.04961
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2037,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2037,S1D1,25.280758
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2037,S2D2,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2037,S2D1,184.35268
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2038,S1D2,78.469957
GLOBAL,PWRHYDINDSO01,HYDINDSO,1,2038,S1D1,25.280758
