REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
GLOBAL,PWRCOAINDNO01,CO2IND,2049,107.566788888
GLOBAL,PWRCOAINDNO01,CO2IND,2050,89.271351936
GLOBAL,PWRCOAINDSO01,CO2IND,2021,298.45608750873015
GLOBAL,PWRCOAINDSO01,CO2IND,2022,329.56473589472085
GLOBAL,PWRCOAINDSO01,CO2IND,2023,347.17480903980896
GLOBAL,PWRCOAINDSO01,CO2IND,2024,314.8671225970675
GLOBAL,PWRCOAINDSO01,CO2IND,2025,298.22501405896423
GLOBAL,PWRCOAINDSO01,CO2IND,2026,243.7854248333157
GLOBAL,PWRCOAINDSO01,CO2IND,2027,244.48379869439998
GLOBAL,PWRCOAINDSO01,CO2IND,2028,242.67319079039999
GLOBAL,PWRCOAINDSO01,CO2IND,2029,241.7678868384
GLOBAL,PWRCOAINDSO01,CO2IND,2030,238.14667103039994
GLOBAL,PWRCOAINDSO01,CO2IND,2031,221.98052903039996
GLOBAL,PWRCOAINDSO01,CO2IND,2032,220.94589594239997
GLOBAL,PWRCOAINDSO01,CO2IND,2033,210.72889419839998
GLOBAL,PWRCOAINDSO01,CO2IND,2034,209.65115139839997
GLOBAL,PWRCOAINDSO01,CO2IND,2035,207.84054349439998
GLOBAL,PWRCOAINDSO01,CO2IND,2036,206.71969098239998
GLOBAL,PWRCOAINDSO01,CO2IND,2037,206.71969098239998
GLOBAL,PWRCOAINDSO01,CO2IND,2038,199.5203690784
GLOBAL,PWRCOAINDSO01,CO2IND,2039,198.6150651264
GLOBAL,PWRCOAINDSO01,CO2IND,2040,198.6150651264
GLOBAL,PWRCOAINDSO01,CO2IND,2041,190.5966586944
GLOBAL,PWRCOAINDSO01,CO2IND,2042,189.78619610879997
GLOBAL,PWRCOAINDSO01,CO2IND,2043,185.82010260479996
GLOBAL,PWRCOAINDSO01,CO2IND,2044,185.48384685119998
GLOBAL,PWRCOAINDSO01,CO2IND,2045,180.59089453919998
GLOBAL,PWRCOAINDSO01,CO2IND,2046,173.20188990239998
GLOBAL,PWRCOAINDSO01,CO2IND,2047,164.4937280784
GLOBAL,PWRCOAINDSO01,CO2IND,2048,152.48767328639997
GLOBAL,PWRCOAINDSO01,CO2IND,2049,140.4212648976
GLOBAL,PWRCOAINDSO01,CO2IND,2050,131.4544448016
GLOBAL,PWRCOAINDWE01,CO2IND,2021,285.870244512881
GLOBAL,PWRCOAINDWE01,CO2IND,2022,306.6634184295237
GLOBAL,PWRCOAINDWE01,CO2IND,2023,328.17512927152427
GLOBAL,PWRCOAINDWE01,CO2IND,2024,227.3809978574545
GLOBAL,PWRCOAINDWE01,CO2IND,2025,228.54777215598727
GLOBAL,PWRCOAINDWE01,CO2IND,2026,237.2949979511987
GLOBAL,PWRCOAINDWE01,CO2IND,2027,251.90550481836624
GLOBAL,PWRCOAINDWE01,CO2IND,2028,273.95322353851293
GLOBAL,PWRCOAINDWE01,CO2IND,2029,294.671850116183
GLOBAL,PWRCOAINDWE01,CO2IND,2030,319.7258969597927
GLOBAL,PWRCOAINDWE01,CO2IND,2031,295.41735713022297
GLOBAL,PWRCOAINDWE01,CO2IND,2032,314.7505843807712
GLOBAL,PWRCOAINDWE01,CO2IND,2033,333.81312554999045
GLOBAL,PWRCOAINDWE01,CO2IND,2034,345.39993545987375
GLOBAL,PWRCOAINDWE01,CO2IND,2035,352.08942144763455
GLOBAL,PWRCOAINDWE01,CO2IND,2036,355.0569065784
GLOBAL,PWRCOAINDWE01,CO2IND,2037,353.91073854239994
GLOBAL,PWRCOAINDWE01,CO2IND,2038,353.91073854239994
GLOBAL,PWRCOAINDWE01,CO2IND,2039,352.0098296676
GLOBAL,PWRCOAINDWE01,CO2IND,2040,351.8476360776
GLOBAL,PWRCOAINDWE01,CO2IND,2041,337.7043550296
GLOBAL,PWRCOAINDWE01,CO2IND,2042,333.4224442536
GLOBAL,PWRCOAINDWE01,CO2IND,2043,320.54211062639996
GLOBAL,PWRCOAINDWE01,CO2IND,2044,313.7386301712
GLOBAL,PWRCOAINDWE01,CO2IND,2045,306.23447340719997
GLOBAL,PWRCOAINDWE01,CO2IND,2046,288.37155269519997
GLOBAL,PWRCOAINDWE01,CO2IND,2047,268.46715533040003
GLOBAL,PWRCOAINDWE01,CO2IND,2048,228.822716772
GLOBAL,PWRCOAINDWE01,CO2IND,2049,178.888716864
GLOBAL,PWRCOAINDWE01,CO2IND,2050,132.414846876
