YEAR,MONTH,HOUR,NODE_1,NODE_2,VALUE
2021,11,10.0,KENXX,TZAXX,-0.02
2021,11,11.0,KENXX,TZAXX,-0.02
2021,11,12.0,KENXX,TZAXX,-0.02
2021,11,13.0,KENXX,TZAXX,-0.02
2021,11,14.0,KENXX,TZAXX,-0.02
2021,11,15.0,KENXX,TZAXX,-0.02
2021,11,16.0,KENXX,TZAXX,-0.02
2021,11,17.0,KENXX,TZAXX,-0.02
2021,11,18.0,KENXX,TZAXX,-0.02
2021,11,19.0,KENXX,TZAXX,-0.02
2021,11,20.0,KENXX,TZAXX,0.0
2021,11,21.0,KENXX,TZAXX,0.0
2021,11,22.0,KENXX,TZAXX,0.0
2021,11,23.0,KENXX,TZAXX,0.0
2021,11,24.0,KENXX,TZAXX,0.0
2021,12,1.0,KENXX,TZAXX,-0.02
2021,12,2.0,KENXX,TZAXX,-0.02
2021,12,3.0,KENXX,TZAXX,-0.02
2021,12,4.0,KENXX,TZAXX,-0.02
2021,12,5.0,KENXX,TZAXX,-0.02
2021,12,6.0,KENXX,TZAXX,-0.02
2021,12,7.0,KENXX,TZAXX,-0.02
2021,12,8.0,KENXX,TZAXX,-0.02
2021,12,9.0,KENXX,TZAXX,-0.02
2021,12,10.0,KENXX,TZAXX,-0.02
2021,12,11.0,KENXX,TZAXX,-0.02
2021,12,12.0,KENXX,TZAXX,-0.02
2021,12,13.0,KENXX,TZAXX,-0.02
2021,12,14.0,KENXX,TZAXX,-0.02
2021,12,15.0,KENXX,TZAXX,-0.02
2021,12,16.0,KENXX,TZAXX,-0.02
2021,12,17.0,KENXX,TZAXX,-0.02
2021,12,18.0,KENXX,TZAXX,-0.02
2021,12,19.0,KENXX,TZAXX,-0.02
2021,12,20.0,KENXX,TZAXX,0.0
2021,12,21.0,KENXX,TZAXX,0.0
2021,12,22.0,KENXX,TZAXX,0.0
2021,12,23.0,KENXX,TZAXX,0.0
2021,12,24.0,KENXX,TZAXX,0.0
2022,1,1.0,KENXX,TZAXX,-0.02
2022,1,2.0,KENXX,TZAXX,-0.02
2022,1,3.0,KENXX,TZAXX,-0.02
2022,1,4.0,KENXX,TZAXX,-0.02
2022,1,5.0,KENXX,TZAXX,-0.02
2022,1,6.0,KENXX,TZAXX,-0.02
2022,1,7.0,KENXX,TZAXX,-0.02
2022,1,8.0,KENXX,TZAXX,-0.02
2022,1,9.0,KENXX,TZAXX,-0.02
2022,1,10.0,KENXX,TZAXX,-0.02
2022,1,11.0,KENXX,TZAXX,-0.02
2022,1,12.0,KENXX,TZAXX,-0.02
2022,1,13.0,KENXX,TZAXX,-0.02
2022,1,14.0,KENXX,TZAXX,-0.02
2022,1,15.0,KENXX,TZAXX,-0.02
2022,1,16.0,KENXX,TZAXX,-0.02
2022,1,17.0,KENXX,TZAXX,-0.02
2022,1,18.0,KENXX,TZAXX,-0.02
2022,1,19.0,KENXX,TZAXX,-0.02
2022,1,20.0,KENXX,TZAXX,0.0
2022,1,21.0,KENXX,TZAXX,0.0
2022,1,22.0,KENXX,TZAXX,0.0
2022,1,23.0,KENXX,TZAXX,0.0
2022,1,24.0,KENXX,TZAXX,0.0
2022,2,1.0,KENXX,TZAXX,-0.02
2022,2,2.0,KENXX,TZAXX,-0.02
2022,2,3.0,KENXX,TZAXX,-0.02
2022,2,4.0,KENXX,TZAXX,-0.02
2022,2,5.0,KENXX,TZAXX,-0.02
2022,2,6.0,KENXX,TZAXX,-0.02
2022,2,7.0,KENXX,TZAXX,-0.02
2022,2,8.0,KENXX,TZAXX,-0.02
2022,2,9.0,KENXX,TZAXX,-0.02
2022,2,10.0,KENXX,TZAXX,-0.02
2022,2,11.0,KENXX,TZAXX,-0.02
2022,2,12.0,KENXX,TZAXX,-0.02
2022,2,13.0,KENXX,TZAXX,-0.02
2022,2,14.0,KENXX,TZAXX,-0.02
2022,2,15.0,KENXX,TZAXX,-0.02
2022,2,16.0,KENXX,TZAXX,-0.02
2022,2,17.0,KENXX,TZAXX,-0.02
2022,2,18.0,KENXX,TZAXX,-0.02
2022,2,19.0,KENXX,TZAXX,-0.02
2022,2,20.0,KENXX,TZAXX,0.0
2022,2,21.0,KENXX,TZAXX,0.0
2022,2,22.0,KENXX,TZAXX,0.0
2022,2,23.0,KENXX,TZAXX,0.0
2022,2,24.0,KENXX,TZAXX,0.0
2022,3,1.0,KENXX,TZAXX,-0.02
2022,3,2.0,KENXX,TZAXX,-0.02
2022,3,3.0,KENXX,TZAXX,-0.02
2022,3,4.0,KENXX,TZAXX,-0.02
2022,3,5.0,KENXX,TZAXX,-0.02
2022,3,6.0,KENXX,TZAXX,-0.02
2022,3,7.0,KENXX,TZAXX,-0.02
2022,3,8.0,KENXX,TZAXX,-0.02
2022,3,9.0,KENXX,TZAXX,-0.02
2022,3,10.0,KENXX,TZAXX,-0.02
2022,3,11.0,KENXX,TZAXX,-0.02
2022,3,12.0,KENXX,TZAXX,-0.02
2022,3,13.0,KENXX,TZAXX,-0.02
2022,3,14.0,KENXX,TZAXX,-0.02
2022,3,15.0,KENXX,TZAXX,-0.02
2022,3,16.0,KENXX,TZAXX,-0.02
2022,3,17.0,KENXX,TZAXX,-0.02
2022,3,18.0,KENXX,TZAXX,-0.02
2022,3,19.0,KENXX,TZAXX,-0.02
2022,3,20.0,KENXX,TZAXX,0.0
2022,3,21.0,KENXX,TZAXX,0.0
2022,3,22.0,KENXX,TZAXX,0.0
2022,3,23.0,KENXX,TZAXX,0.0
2022,3,24.0,KENXX,TZAXX,0.0
2022,4,1.0,KENXX,TZAXX,-0.02
2022,4,2.0,KENXX,TZAXX,-0.02
2022,4,3.0,KENXX,TZAXX,-0.02
2022,4,4.0,KENXX,TZAXX,-0.02
2022,4,5.0,KENXX,TZAXX,-0.02
2022,4,6.0,KENXX,TZAXX,-0.02
2022,4,7.0,KENXX,TZAXX,-0.02
2022,4,8.0,KENXX,TZAXX,-0.02
2022,4,9.0,KENXX,TZAXX,-0.02
2022,4,10.0,KENXX,TZAXX,-0.02
2022,4,11.0,KENXX,TZAXX,-0.02
2022,4,12.0,KENXX,TZAXX,-0.02
2022,4,13.0,KENXX,TZAXX,-0.02
2022,4,14.0,KENXX,TZAXX,-0.02
2022,4,15.0,KENXX,TZAXX,-0.02
2022,4,16.0,KENXX,TZAXX,-0.02
2022,4,17.0,KENXX,TZAXX,-0.02
2022,4,18.0,KENXX,TZAXX,-0.02
2022,4,19.0,KENXX,TZAXX,-0.02
2022,4,20.0,KENXX,TZAXX,0.0
2022,4,21.0,KENXX,TZAXX,0.0
2022,4,22.0,KENXX,TZAXX,0.0
2022,4,23.0,KENXX,TZAXX,0.0
2022,4,24.0,KENXX,TZAXX,0.0
2022,5,1.0,KENXX,TZAXX,-0.02
2022,5,2.0,KENXX,TZAXX,-0.02
2022,5,3.0,KENXX,TZAXX,-0.02
2022,5,4.0,KENXX,TZAXX,-0.02
2022,5,5.0,KENXX,TZAXX,-0.02
2022,5,6.0,KENXX,TZAXX,-0.02
2022,5,7.0,KENXX,TZAXX,-0.02
2022,5,8.0,KENXX,TZAXX,0.02
2022,5,9.0,KENXX,TZAXX,0.02
2022,5,10.0,KENXX,TZAXX,0.02
2022,5,11.0,KENXX,TZAXX,0.02
2022,5,12.0,KENXX,TZAXX,-0.02
2022,5,13.0,KENXX,TZAXX,-0.02
2022,5,14.0,KENXX,TZAXX,-0.02
2022,5,15.0,KENXX,TZAXX,-0.02
2022,5,16.0,KENXX,TZAXX,-0.02
2022,5,17.0,KENXX,TZAXX,-0.02
2022,5,18.0,KENXX,TZAXX,-0.02
2022,5,19.0,KENXX,TZAXX,-0.02
2022,5,20.0,KENXX,TZAXX,0.0
2022,5,21.0,KENXX,TZAXX,0.0
2022,5,22.0,KENXX,TZAXX,0.0
2022,5,23.0,KENXX,TZAXX,0.0
2022,5,24.0,KENXX,TZAXX,0.0
2022,6,1.0,KENXX,TZAXX,-0.02
2022,6,2.0,KENXX,TZAXX,-0.02
2022,6,3.0,KENXX,TZAXX,-0.02
2022,6,4.0,KENXX,TZAXX,-0.02
2022,6,5.0,KENXX,TZAXX,-0.02
2022,6,6.0,KENXX,TZAXX,-0.02
2022,6,7.0,KENXX,TZAXX,-0.02
2022,6,8.0,KENXX,TZAXX,0.02
2022,6,9.0,KENXX,TZAXX,0.02
2022,6,10.0,KENXX,TZAXX,0.02
2022,6,11.0,KENXX,TZAXX,0.02
2022,6,12.0,KENXX,TZAXX,-0.02
2022,6,13.0,KENXX,TZAXX,-0.02
2022,6,14.0,KENXX,TZAXX,-0.02
2022,6,15.0,KENXX,TZAXX,-0.02
2022,6,16.0,KENXX,TZAXX,-0.02
