REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGBGRXX01,30.0
GLOBAL,PWRWOFMEXXX01,30.0
GLOBAL,PWRWASGTMXX01,30.0
GLOBAL,PWROTHTJKXX01,30.0
GLOBAL,PWROTHSURXX01,30.0
GLOBAL,PWROTHCHNYU01,30.0
GLOBAL,PWROILCHNQI01,30.0
GLOBAL,PWRWAVBLRXX01,20.0
GLOBAL,PWRCOAJPNSH01,30.0
GLOBAL,PWRURNUSASE01,60.0
GLOBAL,PWRCCSPNGXX01,30.0
GLOBAL,PWRWONCHNGA01,30.0
GLOBAL,PWRWASLSOXX01,30.0
GLOBAL,PWRWOFEGYXX01,30.0
GLOBAL,PWRWAVSOMXX01,20.0
GLOBAL,PWRCCGUSASE00,30.0
GLOBAL,PWROILCUBXX01,30.0
GLOBAL,PWROILCODXX01,30.0
GLOBAL,PWRCOACHNJX01,30.0
GLOBAL,PWRCCGPHLXX01,30.0
GLOBAL,PWRHYDCPVXX01,100.0
GLOBAL,PWRCOACMRXX01,30.0
GLOBAL,PWROILKENXX01,30.0
GLOBAL,PWRHYDNGAXX01,100.0
GLOBAL,PWRBIOAUSWA01,30.0
GLOBAL,PWRBIOCHNAN01,30.0
GLOBAL,PWROCGCHNJI01,30.0
GLOBAL,PWRCCGCHNSH00,30.0
GLOBAL,PWRCCGUSARW00,30.0
GLOBAL,PWRHYDBRNXX01,100.0
GLOBAL,PWROTHMDGXX01,30.0
GLOBAL,PWRGEOUSACA01,30.0
GLOBAL,PWRCOACZEXX01,30.0
GLOBAL,PWRSPVUKRXX01,30.0
GLOBAL,PWRGEOCHNBE01,30.0
GLOBAL,PWRCSPUSASC01,30.0
GLOBAL,PWROCGNERXX00,30.0
GLOBAL,PWROILTURXX01,30.0
GLOBAL,PWRCCGCHNHN00,30.0
GLOBAL,PWRURNESPXX01,60.0
GLOBAL,PWRCOGLBNXX01,30.0
GLOBAL,PWRBIOJAMXX01,30.0
GLOBAL,PWRCOACANNO01,30.0
GLOBAL,PWROCGURYXX00,30.0
GLOBAL,PWRCCSLBRXX01,30.0
GLOBAL,PWRCCSESPXX01,30.0
GLOBAL,PWRWASISRXX01,30.0
GLOBAL,PWROILZMBXX01,30.0
GLOBAL,PWRURNAUSSW01,60.0
