REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2026,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2026,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2026,S3D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2026,S3D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2027,S1D1,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2027,S1D2,4.4475945897810245
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2027,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2027,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2027,S3D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2028,S1D3,4.4475945897810245
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2028,S1D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2028,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2028,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2028,S3D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2029,S1D3,4.3002961489051135
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2029,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2029,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2029,S3D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2029,S3D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2030,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2030,S2D1,4.196905235262694
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2030,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2030,S3D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2030,S3D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2031,S1D3,4.226646928467156
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2031,S2D3,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2031,S2D1,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2031,S2D2,8.9688384
GLOBAL,PWRBIOKENXX01,BIOKENXX,1,2031,S3D3,8.9688384
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2021,S2D3,7.3510416
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2021,S2D1,5.057088722788484
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2021,S2D2,7.3510416
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2021,S3D3,7.3510416
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2021,S3D2,5.720755895429563
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2022,S2D3,7.3510416
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2022,S2D1,4.248505402394047
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2022,S2D2,7.3510416
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2022,S3D3,7.3510416
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2022,S3D1,1.9579584478362497
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2022,S3D2,4.577913308278191
GLOBAL,PWRBIOTZAXX01,BIOTZAXX,1,2023,S2D3,7.3510416
