REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2037,4.166431739332542
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2038,4.426772748615523
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2039,4.687127996063138
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2040,4.947469005346115
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2041,5.245778448286723
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2042,5.510073514804475
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2043,5.774312356573465
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2044,6.038837604835996
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2045,6.018868891981069
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2046,6.346267739649556
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2047,6.673610254168338
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2048,7.00031931543862
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2049,7.327431756613539
GLOBAL,PWRCCGTZAXX01,ELCTZAXX01,2050,7.654830604282014
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2021,29.711716132564124
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2022,31.125184236452522
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2023,31.12518423645253
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2024,32.63630658429675
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2025,34.06367441007515
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2026,38.315833107848604
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2027,42.567991805622036
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2028,46.81312480412267
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2029,51.06310783123234
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2030,55.30313773649867
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2031,60.18016743973926
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2032,66.09308033510507
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2033,71.0054417874464
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2034,75.91184132089342
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2035,80.80824818726622
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2036,86.48408308542896
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2037,92.1344723488364
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2038,97.79230645429834
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2039,103.4401795842225
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2040,109.09801368968446
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2041,116.12050144382297
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2042,123.1330282224237
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2043,130.1555159765622
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2044,137.1780037307007
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2045,146.32845756975382
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2046,155.1270172792736
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2047,163.93553011063673
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2048,174.51514274233148
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2049,183.31370245185124
GLOBAL,PWRGEOKENXX01,ELCKENXX01,2050,192.11226216137104
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2021,22.1860253927529
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2022,25.103503866744326
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2023,28.128826721101557
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2024,55.90321175290235
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2025,60.68133912971374
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2026,66.73585602596864
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2027,72.78066555647511
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2028,78.84247339653858
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2029,84.90957698932024
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2030,90.97668058210195
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2031,98.30574172218222
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2032,105.89139859267601
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2033,113.20383033997193
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2034,120.51274172354746
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2035,127.8314015110721
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2036,136.52530625522832
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2037,145.22558104268938
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2038,153.93816617195677
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2039,162.65075945142277
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2040,171.36334458069015
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2041,181.65711374973793
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2042,191.95089106898436
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2043,202.24466023803217
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2044,212.54813677282843
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2045,222.84290880555866
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2046,235.62750949626823
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2047,248.41211018697774
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2048,261.1967108776873
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2049,273.97160420264834
GLOBAL,PWRGEOTZAXX01,ELCTZAXX01,2050,286.75620489335796
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2021,11.180802176574499
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2022,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2023,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2024,11.180802176574497
GLOBAL,PWRHYDKENXX01,ELCKENXX01,2025,11.180802176574497
