REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2028,4.848945750779605
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2029,4.848945750779604
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2030,4.848945750779605
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2031,4.848945750779605
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2032,4.848945750779604
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2033,4.848945750779604
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2034,4.848945750779604
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2035,4.848945750779604
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2036,4.848945750779604
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2037,4.848945750779605
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2038,4.848945750779604
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2039,4.848945750779605
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2040,4.848945750779604
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2041,4.848945750779605
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2042,4.848945750779604
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2043,4.848945750779604
GLOBAL,S3D2,RNWSPVKENXX,1,SPVKENXX,2044,4.848945750779605
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2021,2.5133939712
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2022,2.5133939712
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2023,2.5133939712
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2024,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2025,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2026,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2027,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2028,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2029,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2030,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2031,2.1710999597655616
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2032,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2033,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2034,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2035,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2036,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2037,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2038,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2039,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2040,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2041,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2042,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2043,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2044,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2045,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2046,2.318905152
GLOBAL,S3D2,RNWWONKENXX,1,WONKENXX,2047,2.318905152
GLOBAL,S3D2,TRNKENXXTZAXX,1,ELCTZAXX01,2023,0.5810946941213417
GLOBAL,S3D2,TRNKENXXTZAXX,2,ELCKENXX01,2021,0.5810946941213417
GLOBAL,S3D2,TRNKENXXTZAXX,2,ELCKENXX01,2022,0.5810946941213417
GLOBAL,S3D3,PWRBIOKENXX01,1,ELCKENXX01,2027,2.8382399999999994
GLOBAL,S3D3,PWRBIOKENXX01,1,ELCKENXX01,2028,2.8382399999999994
GLOBAL,S3D3,PWRBIOKENXX01,1,ELCKENXX01,2029,2.8302457396869087
GLOBAL,S3D3,PWRBIOKENXX01,1,ELCKENXX01,2030,2.8382399999999994
GLOBAL,S3D3,PWRBIOKENXX01,1,ELCKENXX01,2031,2.8382399999999994
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2021,3.529138887570853
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2022,3.529138887570853
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2023,3.529138887570853
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2024,3.529138887570853
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2025,3.529138887570853
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2026,3.1257258861793598
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2027,3.0146896738366142
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2028,2.9036534614938057
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2029,3.781528121924501
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2030,4.960283512127456
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2031,5.47442150147131
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2032,5.988559490815037
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2033,8.968128381797017
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2034,7.01683546950249
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2035,7.530973458846087
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2036,8.045111448190195
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2037,8.559249437534179
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2038,9.073387426878288
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2039,9.58752541622112
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2040,10.101663405564848
GLOBAL,S3D3,PWRBIOTZAXX01,1,ELCTZAXX01,2041,10.847790487660324
