TECH,COUNTRY,YEAR,VALUE
GEO,KEN,2042,2.4069963939588
GEO,KEN,2043,2.554544369102448
GEO,KEN,2044,2.7020923442460942
GEO,KEN,2045,2.8496403193897413
GEO,KEN,2046,3.0346508300663126
GEO,KEN,2047,3.219157158331256
GEO,KEN,2048,3.4598482274211446
GEO,KEN,2049,3.64485873809772
GEO,KEN,2050,3.8298692487742914
GEO,TZA,2021,0.7683856503954974
GEO,TZA,2022,0.8624426097365722
GEO,TZA,2023,0.99298799543113
GEO,TZA,2024,1.9555984138291675
GEO,TZA,2025,2.076282796277315
GEO,TZA,2026,2.076282796277315
GEO,TZA,2027,2.111793834191381
GEO,TZA,2028,2.2929595165097374
GEO,TZA,2029,2.4730393542840043
GEO,TZA,2030,2.568869542179697
GEO,TZA,2031,2.568869542179697
GEO,TZA,2032,2.6815397042048965
GEO,TZA,2033,2.870342494315979
GEO,TZA,2034,3.0588955452866986
GEO,TZA,2035,3.2476983353977804
GEO,TZA,2036,3.2476983353977804
GEO,TZA,2037,3.3511738097592967
GEO,TZA,2038,3.5816094832582066
GEO,TZA,2039,3.787865432739444
GEO,TZA,2040,3.994121382220684
GEO,TZA,2041,4.237815772420675
GEO,TZA,2042,4.481510162620669
GEO,TZA,2043,4.725204552820661
GEO,TZA,2044,4.969128626706048
GEO,TZA,2045,5.21282301690604
GEO,TZA,2046,5.515316430566159
GEO,TZA,2047,5.817809844226284
GEO,TZA,2048,6.1203032578864045
GEO,TZA,2049,6.4225669878611376
GEO,TZA,2050,6.725060401521264
HYD,KEN,2021,0.8198
HYD,KEN,2022,0.8198
HYD,KEN,2023,0.8198
HYD,KEN,2024,0.8198
HYD,KEN,2025,0.8198
HYD,KEN,2026,0.8198
HYD,KEN,2027,0.8198
HYD,KEN,2028,0.8198
HYD,KEN,2029,0.8198
HYD,KEN,2030,0.8198
HYD,KEN,2031,0.8198
HYD,KEN,2032,0.8198
HYD,KEN,2033,0.8198
HYD,KEN,2034,0.8198
HYD,KEN,2035,0.8198
HYD,KEN,2036,0.8198
HYD,KEN,2037,0.8198
HYD,KEN,2038,0.8198
HYD,KEN,2039,0.8198
HYD,KEN,2040,0.8198
HYD,KEN,2041,0.8198
HYD,KEN,2042,0.8198
HYD,KEN,2043,0.8198
HYD,KEN,2044,0.8198
HYD,KEN,2045,0.8198
HYD,KEN,2046,0.8198
HYD,KEN,2047,0.8198
HYD,KEN,2048,0.8198
HYD,KEN,2049,0.8198
HYD,KEN,2050,0.8198
HYD,TZA,2021,0.561
HYD,TZA,2022,0.561
HYD,TZA,2023,0.561
HYD,TZA,2024,0.561
HYD,TZA,2025,0.561
HYD,TZA,2026,0.561
HYD,TZA,2027,0.561
HYD,TZA,2028,0.561
HYD,TZA,2029,0.561
HYD,TZA,2030,0.561
HYD,TZA,2031,0.561
HYD,TZA,2032,0.561
HYD,TZA,2033,0.561
HYD,TZA,2034,0.561
HYD,TZA,2035,0.561
HYD,TZA,2036,0.561
HYD,TZA,2037,0.561
HYD,TZA,2038,0.561
HYD,TZA,2039,0.561
HYD,TZA,2040,0.561
HYD,TZA,2041,0.561
HYD,TZA,2042,0.561
HYD,TZA,2043,0.561
HYD,TZA,2044,0.561
HYD,TZA,2045,0.561
HYD,TZA,2046,0.561
HYD,TZA,2047,0.561
HYD,TZA,2048,0.561
HYD,TZA,2049,0.561
HYD,TZA,2050,0.561
OCG,TZA,2021,0.3547785491989552
OCG,TZA,2022,0.4308638750565752
OCG,TZA,2023,0.4810628874546774
OCG,TZA,2024,0.7873677645300536
OCG,TZA,2025,0.9925291390695543
OCG,TZA,2026,1.5277022501173079
OCG,TZA,2027,2.094016014138378
OCG,TZA,2028,2.273019257220991
OCG,TZA,2029,2.452192306894157
OCG,TZA,2030,2.6255545306130545
OCG,TZA,2031,3.098922099683076
OCG,TZA,2032,3.2678708790513356
OCG,TZA,2033,3.4859698919645803
OCG,TZA,2034,3.703887742523741
OCG,TZA,2035,3.8894729621687616
OCG,TZA,2036,4.158871489343715
OCG,TZA,2037,4.450530685975134
OCG,TZA,2038,4.637816639212135
OCG,TZA,2039,4.888951184592691
OCG,TZA,2040,5.230256394990056
OCG,TZA,2041,5.532962645183084
OCG,TZA,2042,5.90613423275763
OCG,TZA,2043,6.280024675236616
OCG,TZA,2044,6.566077133933393
OCG,TZA,2045,6.851967576412374
OCG,TZA,2046,7.208276626159457
OCG,TZA,2047,7.564674965805083
OCG,TZA,2048,7.87079114831773
OCG,TZA,2049,8.22693818184701
OCG,TZA,2050,8.583247231594093
OIL,KEN,2021,0.7345
OIL,KEN,2022,0.7345
OIL,KEN,2023,0.7345
OIL,KEN,2024,0.7345
OIL,KEN,2025,0.7345
OIL,KEN,2026,0.7345
OIL,KEN,2027,0.447
OIL,KEN,2028,0.447
OIL,KEN,2029,0.447
OIL,KEN,2030,0.327
OIL,KEN,2031,0.327
OIL,KEN,2032,0.252
OIL,KEN,2033,0.252
OIL,KEN,2034,0.252
OIL,KEN,2035,0.252
OIL,KEN,2036,0.252
OIL,KEN,2037,0.252
OIL,KEN,2038,0.252
OIL,KEN,2039,0.252
OIL,KEN,2040,0.162
