REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S3D3,PWRWONKENXX01,1,2028,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2028,2.115318526211558
GLOBAL,S3D3,RNWGEOTZAXX,1,2028,4.026134991276996
GLOBAL,S3D3,RNWHYDKENXX,1,2028,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2028,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2028,0.7725582677614666
GLOBAL,S3D3,RNWSPVTZAXX,1,2028,1.081247389738044
GLOBAL,S3D3,RNWWONKENXX,1,2028,0.10209977099999999
GLOBAL,S3D3,PWRSDSKENXX01,1,2028,0.00105393312
GLOBAL,S3D3,PWRGEOKENXX01,1,2029,2.319330204690573
GLOBAL,S3D3,PWRGEOTZAXX01,1,2029,4.327392125870375
GLOBAL,S3D3,PWRHYDKENXX01,1,2029,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2029,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2029,0.8247465892824516
GLOBAL,S3D3,PWRSPVTZAXX01,1,2029,1.1549902551446656
GLOBAL,S3D3,PWRTRNKENXX,1,2029,4.0488
GLOBAL,S3D3,PWRTRNTZAXX,1,2029,5.8734
GLOBAL,S3D3,PWRWONKENXX01,1,2029,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2029,2.319330204690573
GLOBAL,S3D3,RNWGEOTZAXX,1,2029,4.327392125870375
GLOBAL,S3D3,RNWHYDKENXX,1,2029,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2029,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2029,0.8247465892824516
GLOBAL,S3D3,RNWSPVTZAXX,1,2029,1.1549902551446656
GLOBAL,S3D3,RNWWONKENXX,1,2029,0.10209977099999999
GLOBAL,S3D3,PWRSDSKENXX01,1,2029,0.00105393312
GLOBAL,S3D3,PWRBIOTZAXX01,1,2030,0.11628810802638782
GLOBAL,S3D3,PWRGEOKENXX01,1,2030,2.5228641040630793
GLOBAL,S3D3,PWRGEOTZAXX01,1,2030,4.512361152437365
GLOBAL,S3D3,PWRHYDKENXX01,1,2030,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2030,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2030,0.8768126899099452
GLOBAL,S3D3,PWRSPVTZAXX01,1,2030,1.2287331205512866
GLOBAL,S3D3,PWRTRNKENXX,1,2030,4.3044
GLOBAL,S3D3,PWRTRNTZAXX,1,2030,6.248399999999999
GLOBAL,S3D3,PWRWONKENXX01,1,2030,0.10209977099999999
GLOBAL,S3D3,RNWBIOTZAXX,1,2030,0.38723939972787136
GLOBAL,S3D3,RNWGEOKENXX,1,2030,2.5228641040630793
GLOBAL,S3D3,RNWGEOTZAXX,1,2030,4.512361152437365
GLOBAL,S3D3,RNWHYDKENXX,1,2030,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2030,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2030,0.8768126899099452
GLOBAL,S3D3,RNWSPVTZAXX,1,2030,1.2287331205512866
GLOBAL,S3D3,RNWWONKENXX,1,2030,0.10209977099999999
GLOBAL,S3D3,PWRSDSKENXX01,1,2030,0.00105393312
GLOBAL,S3D3,PWRGEOKENXX01,1,2031,2.2886854692716567
GLOBAL,S3D3,PWRGEOTZAXX01,1,2031,4.333660628071312
GLOBAL,S3D3,PWRHYDKENXX01,1,2031,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2031,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2031,1.405051391581367
GLOBAL,S3D3,PWRSPVTZAXX01,1,2031,1.9767217529437278
GLOBAL,S3D3,PWRTRNKENXX,1,2031,4.598399999999999
GLOBAL,S3D3,PWRTRNTZAXX,1,2031,6.7014000000000005
GLOBAL,S3D3,PWRWONKENXX01,1,2031,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2031,2.2886854692716567
GLOBAL,S3D3,RNWGEOTZAXX,1,2031,4.333660628071312
GLOBAL,S3D3,RNWHYDKENXX,1,2031,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2031,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2031,1.405051391581367
GLOBAL,S3D3,RNWSPVTZAXX,1,2031,1.9767217529437278
GLOBAL,S3D3,RNWWONKENXX,1,2031,0.10209977099999999
GLOBAL,S3D3,PWRSDSKENXX01,1,2031,0.001114
GLOBAL,S3D3,PWRGEOKENXX01,1,2032,2.493269781214969
GLOBAL,S3D3,PWRGEOTZAXX01,1,2032,4.653461573077539
GLOBAL,S3D3,PWRHYDKENXX01,1,2032,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2032,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2032,1.4950670796380545
GLOBAL,S3D3,PWRSPVTZAXX01,1,2032,2.110520807937501
GLOBAL,S3D3,PWRTRNKENXX,1,2032,4.893
GLOBAL,S3D3,PWRTRNTZAXX,1,2032,7.155
GLOBAL,S3D3,PWRWONKENXX01,1,2032,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2032,2.493269781214969
GLOBAL,S3D3,RNWGEOTZAXX,1,2032,4.653461573077539
GLOBAL,S3D3,RNWHYDKENXX,1,2032,0.803677368146976
GLOBAL,S3D3,RNWHYDTZAXX,1,2032,0.39101761898496
GLOBAL,S3D3,RNWSPVKENXX,1,2032,1.4950670796380545
GLOBAL,S3D3,RNWSPVTZAXX,1,2032,2.110520807937501
GLOBAL,S3D3,RNWWONKENXX,1,2032,0.10209977099999999
GLOBAL,S3D3,PWRSDSKENXX01,1,2032,0.001114
GLOBAL,S3D3,PWRGEOKENXX01,1,2033,2.696740093158282
GLOBAL,S3D3,PWRGEOTZAXX01,1,2033,4.973262518083764
GLOBAL,S3D3,PWRHYDKENXX01,1,2033,0.803677368146976
GLOBAL,S3D3,PWRHYDTZAXX01,1,2033,0.39101761898496
GLOBAL,S3D3,PWRSPVKENXX01,1,2033,1.5850827676947412
GLOBAL,S3D3,PWRSPVTZAXX01,1,2033,2.2443198629312753
GLOBAL,S3D3,PWRTRNKENXX,1,2033,5.187600000000001
GLOBAL,S3D3,PWRTRNTZAXX,1,2033,7.6086
GLOBAL,S3D3,PWRWONKENXX01,1,2033,0.10209977099999999
GLOBAL,S3D3,RNWGEOKENXX,1,2033,2.696740093158282
GLOBAL,S3D3,RNWGEOTZAXX,1,2033,4.973262518083764
GLOBAL,S3D3,RNWHYDKENXX,1,2033,0.803677368146976
