REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2032,S1D3,74.40693430656934
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2032,S1D1,81.84762773722628
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2032,S1D2,89.28832116788321
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2032,S2D3,72.6179875333927
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2032,S2D1,79.87978628673197
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2032,S2D2,87.14158504007123
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2032,S3D3,73.20466786355473
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2032,S3D1,87.84560143626571
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2032,S3D2,95.16606822262115
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2033,S1D3,78.88686131386862
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2033,S1D1,86.77554744525547
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2033,S1D2,94.66423357664232
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2033,S2D3,76.99020480854854
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2033,S2D1,84.68922528940338
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2033,S2D2,92.38824577025824
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2033,S3D3,77.61220825852784
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2033,S3D1,93.1346499102334
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2033,S3D2,100.89587073608618
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2034,S1D3,83.36678832116787
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2034,S1D1,91.70346715328468
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2034,S1D2,100.04014598540144
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2034,S2D3,81.36242208370437
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2034,S2D1,89.4986642920748
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2034,S2D2,97.63490650044525
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2034,S3D3,82.0197486535009
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2034,S3D1,98.42369838420109
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2034,S3D2,106.62567324955116
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2035,S1D3,87.83759124087592
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2035,S1D1,96.6213503649635
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2035,S1D2,105.4051094890511
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2035,S2D3,85.72573463935886
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2035,S2D1,94.29830810329476
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2035,S2D2,102.87088156723064
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2035,S3D3,86.41831238779174
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2035,S3D1,103.7019748653501
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2035,S3D2,112.34380610412929
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2036,S1D3,93.02007299270072
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2036,S1D1,102.3220802919708
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2036,S1D2,111.62408759124088
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2036,S2D3,90.78361531611753
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2036,S2D1,99.8619768477293
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2036,S2D2,108.94033837934106
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2036,S3D3,91.51705565529625
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2036,S3D1,109.82046678635548
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2036,S3D2,118.97217235188512
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2037,S1D3,98.19343065693432
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2037,S1D1,108.01277372262774
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2037,S1D2,117.83211678832116
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2037,S2D3,95.8325912733749
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2037,S2D1,105.4158504007124
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2037,S2D2,114.99910952804989
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2037,S3D3,96.6068222621185
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2037,S3D1,115.9281867145422
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2037,S3D2,125.58886894075404
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2038,S1D3,103.37591240875912
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2038,S1D1,113.71350364963504
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2038,S1D2,124.05109489051095
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2038,S2D3,100.89047195013356
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2038,S2D1,110.97951914514692
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2038,S2D2,121.06856634016027
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2038,S3D3,101.705565529623
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2038,S3D1,122.04667863554758
GLOBAL,PWRTRNKENXX,ELCKENXX01,1,2038,S3D2,132.21723518850987
