REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S3D3,ELCKENXX02,2044,15.284
GLOBAL,S1D1,ELCKENXX02,2045,17.587899999999998
GLOBAL,S1D2,ELCKENXX02,2045,19.186799999999998
GLOBAL,S1D3,ELCKENXX02,2045,15.988999999999999
GLOBAL,S2D1,ELCKENXX02,2045,17.587899999999998
GLOBAL,S2D2,ELCKENXX02,2045,19.186799999999998
GLOBAL,S2D3,ELCKENXX02,2045,15.988999999999999
GLOBAL,S3D1,ELCKENXX02,2045,19.186799999999998
GLOBAL,S3D2,ELCKENXX02,2045,20.7857
GLOBAL,S3D3,ELCKENXX02,2045,15.988999999999999
GLOBAL,S1D1,ELCKENXX02,2046,18.560299999999998
GLOBAL,S1D2,ELCKENXX02,2046,20.2476
GLOBAL,S1D3,ELCKENXX02,2046,16.873
GLOBAL,S2D1,ELCKENXX02,2046,18.560299999999998
GLOBAL,S2D2,ELCKENXX02,2046,20.2476
GLOBAL,S2D3,ELCKENXX02,2046,16.873
GLOBAL,S3D1,ELCKENXX02,2046,20.2476
GLOBAL,S3D2,ELCKENXX02,2046,21.9349
GLOBAL,S3D3,ELCKENXX02,2046,16.873
GLOBAL,S1D1,ELCKENXX02,2047,19.533800000000003
GLOBAL,S1D2,ELCKENXX02,2047,21.3096
GLOBAL,S1D3,ELCKENXX02,2047,17.758000000000003
GLOBAL,S2D1,ELCKENXX02,2047,19.533800000000003
GLOBAL,S2D2,ELCKENXX02,2047,21.3096
GLOBAL,S2D3,ELCKENXX02,2047,17.758000000000003
GLOBAL,S3D1,ELCKENXX02,2047,21.3096
GLOBAL,S3D2,ELCKENXX02,2047,23.085400000000003
GLOBAL,S3D3,ELCKENXX02,2047,17.758000000000003
GLOBAL,S1D1,ELCKENXX02,2048,20.5062
GLOBAL,S1D2,ELCKENXX02,2048,22.370399999999997
GLOBAL,S1D3,ELCKENXX02,2048,18.642
GLOBAL,S2D1,ELCKENXX02,2048,20.5062
GLOBAL,S2D2,ELCKENXX02,2048,22.370399999999997
GLOBAL,S2D3,ELCKENXX02,2048,18.642
GLOBAL,S3D1,ELCKENXX02,2048,22.370399999999997
GLOBAL,S3D2,ELCKENXX02,2048,24.2346
GLOBAL,S3D3,ELCKENXX02,2048,18.642
GLOBAL,S1D1,ELCKENXX02,2049,21.4786
GLOBAL,S1D2,ELCKENXX02,2049,23.431199999999997
GLOBAL,S1D3,ELCKENXX02,2049,19.526
GLOBAL,S2D1,ELCKENXX02,2049,21.4786
GLOBAL,S2D2,ELCKENXX02,2049,23.431199999999997
GLOBAL,S2D3,ELCKENXX02,2049,19.526
GLOBAL,S3D1,ELCKENXX02,2049,23.431199999999997
GLOBAL,S3D2,ELCKENXX02,2049,25.3838
GLOBAL,S3D3,ELCKENXX02,2049,19.526
GLOBAL,S1D1,ELCKENXX02,2050,22.4521
GLOBAL,S1D2,ELCKENXX02,2050,24.4932
GLOBAL,S1D3,ELCKENXX02,2050,20.411
GLOBAL,S2D1,ELCKENXX02,2050,22.4521
GLOBAL,S2D2,ELCKENXX02,2050,24.4932
GLOBAL,S2D3,ELCKENXX02,2050,20.411
GLOBAL,S3D1,ELCKENXX02,2050,24.4932
GLOBAL,S3D2,ELCKENXX02,2050,26.5343
GLOBAL,S3D3,ELCKENXX02,2050,20.411
GLOBAL,S1D1,ELCTZAXX02,2021,5.321000000000001
GLOBAL,S1D2,ELCTZAXX02,2021,6.3852
GLOBAL,S1D3,ELCTZAXX02,2021,5.8531
GLOBAL,S2D1,ELCTZAXX02,2021,5.321000000000001
GLOBAL,S2D2,ELCTZAXX02,2021,6.3852
GLOBAL,S2D3,ELCTZAXX02,2021,5.321000000000001
GLOBAL,S3D1,ELCTZAXX02,2021,5.8531
GLOBAL,S3D2,ELCTZAXX02,2021,6.9173
GLOBAL,S3D3,ELCTZAXX02,2021,5.8531
GLOBAL,S1D1,ELCTZAXX02,2022,5.813000000000001
GLOBAL,S1D2,ELCTZAXX02,2022,6.9756
GLOBAL,S1D3,ELCTZAXX02,2022,6.3943
GLOBAL,S2D1,ELCTZAXX02,2022,5.813000000000001
GLOBAL,S2D2,ELCTZAXX02,2022,6.9756
GLOBAL,S2D3,ELCTZAXX02,2022,5.813000000000001
GLOBAL,S3D1,ELCTZAXX02,2022,6.3943
GLOBAL,S3D2,ELCTZAXX02,2022,7.556900000000001
GLOBAL,S3D3,ELCTZAXX02,2022,6.3943
GLOBAL,S1D1,ELCTZAXX02,2023,6.305
GLOBAL,S1D2,ELCTZAXX02,2023,7.565999999999999
GLOBAL,S1D3,ELCTZAXX02,2023,6.935499999999999
GLOBAL,S2D1,ELCTZAXX02,2023,6.305
GLOBAL,S2D2,ELCTZAXX02,2023,7.565999999999999
GLOBAL,S2D3,ELCTZAXX02,2023,6.305
GLOBAL,S3D1,ELCTZAXX02,2023,6.935499999999999
GLOBAL,S3D2,ELCTZAXX02,2023,8.1965
GLOBAL,S3D3,ELCTZAXX02,2023,6.935499999999999
GLOBAL,S1D1,ELCTZAXX02,2024,6.798000000000001
GLOBAL,S1D2,ELCTZAXX02,2024,8.1576
GLOBAL,S1D3,ELCTZAXX02,2024,7.4778
GLOBAL,S2D1,ELCTZAXX02,2024,6.798000000000001
GLOBAL,S2D2,ELCTZAXX02,2024,8.1576
GLOBAL,S2D3,ELCTZAXX02,2024,6.798000000000001
GLOBAL,S3D1,ELCTZAXX02,2024,7.4778
GLOBAL,S3D2,ELCTZAXX02,2024,8.8374
GLOBAL,S3D3,ELCTZAXX02,2024,7.4778
GLOBAL,S1D1,ELCTZAXX02,2025,7.290000000000001
GLOBAL,S1D2,ELCTZAXX02,2025,8.748000000000001
GLOBAL,S1D3,ELCTZAXX02,2025,8.019
GLOBAL,S2D1,ELCTZAXX02,2025,7.290000000000001
GLOBAL,S2D2,ELCTZAXX02,2025,8.748000000000001
GLOBAL,S2D3,ELCTZAXX02,2025,7.290000000000001
GLOBAL,S3D1,ELCTZAXX02,2025,8.019
GLOBAL,S3D2,ELCTZAXX02,2025,9.477
GLOBAL,S3D3,ELCTZAXX02,2025,8.019
GLOBAL,S1D1,ELCTZAXX02,2026,7.915000000000001
GLOBAL,S1D2,ELCTZAXX02,2026,9.498000000000001
GLOBAL,S1D3,ELCTZAXX02,2026,8.7065
GLOBAL,S2D1,ELCTZAXX02,2026,7.915000000000001
GLOBAL,S2D2,ELCTZAXX02,2026,9.498000000000001
GLOBAL,S2D3,ELCTZAXX02,2026,7.915000000000001
GLOBAL,S3D1,ELCTZAXX02,2026,8.7065
GLOBAL,S3D2,ELCTZAXX02,2026,10.2895
GLOBAL,S3D3,ELCTZAXX02,2026,8.7065
GLOBAL,S1D1,ELCTZAXX02,2027,8.539
GLOBAL,S1D2,ELCTZAXX02,2027,10.2468
GLOBAL,S1D3,ELCTZAXX02,2027,9.392900000000001
GLOBAL,S2D1,ELCTZAXX02,2027,8.539
GLOBAL,S2D2,ELCTZAXX02,2027,10.2468
GLOBAL,S2D3,ELCTZAXX02,2027,8.539
GLOBAL,S3D1,ELCTZAXX02,2027,9.392900000000001
GLOBAL,S3D2,ELCTZAXX02,2027,11.1007
GLOBAL,S3D3,ELCTZAXX02,2027,9.392900000000001
GLOBAL,S1D1,ELCTZAXX02,2028,9.164
GLOBAL,S1D2,ELCTZAXX02,2028,10.9968
GLOBAL,S1D3,ELCTZAXX02,2028,10.080400000000001
GLOBAL,S2D1,ELCTZAXX02,2028,9.164
GLOBAL,S2D2,ELCTZAXX02,2028,10.9968
GLOBAL,S2D3,ELCTZAXX02,2028,9.164
GLOBAL,S3D1,ELCTZAXX02,2028,10.080400000000001
GLOBAL,S3D2,ELCTZAXX02,2028,11.9132
GLOBAL,S3D3,ELCTZAXX02,2028,10.080400000000001
GLOBAL,S1D1,ELCTZAXX02,2029,9.789000000000001
GLOBAL,S1D2,ELCTZAXX02,2029,11.7468
GLOBAL,S1D3,ELCTZAXX02,2029,10.767900000000001
GLOBAL,S2D1,ELCTZAXX02,2029,9.789000000000001
GLOBAL,S2D2,ELCTZAXX02,2029,11.7468
GLOBAL,S2D3,ELCTZAXX02,2029,9.789000000000001
GLOBAL,S3D1,ELCTZAXX02,2029,10.767900000000001
GLOBAL,S3D2,ELCTZAXX02,2029,12.7257
GLOBAL,S3D3,ELCTZAXX02,2029,10.767900000000001
GLOBAL,S1D1,ELCTZAXX02,2030,10.414000000000001
GLOBAL,S1D2,ELCTZAXX02,2030,12.4968
